"Racc1","Racc2","Racc3"
"This dish is very tasty and healthy! I recommend it for the presence of broccoli and shrimps 🥦🍤","Visually the dish would appear to be fatter than it actually is: it is healthy for the presence of vegetables such as broccoli. 🥦🍤 The color difference between shrimp and broccoli is attractive and that's why I suggest you try it 🤩","I think this pasta dish is really fresh and savory, but at the same time healthy for the presence of vegetables and shrimp. It’s perfect for summer days! 🤩🏖"
"The presence of butternut squash and spinach makes this dish healthy 🎃🥬. I recommend it because it is tasty due to the presence of the sausage 🍖","This pasta dish is perfect if you are hungry...the presence of sausage, butter and parmesan cheese gives sense of satiety 😋","This dish is perfect for who likes butternut squash and sausage together. It’s really tasty! 🎃🍖"
"This dish is tasty, fresh and healthy. Rich in vegetables that are good for health 🥒🍅💪🍝","This pasta dish is different from the others, because of its healthiness. I strongly reccomend it to you because it’s also a fresh dish with a lot of vegetables 😋🥒🍅💪","This pasta dish is perfect for summer days. It’s light, easy to cook and healthy! 🥒🍅🤙🍝"
"I recommend this good and healthy pasta dish, because chicken and broccoli are a really tasty combination 🥦🍗","This dish is healthy and tasty! It is a typical mediterranean diet dish which has no precence of fried  🥦","This pasta dish is strongly reccomended for the precence of vegetables and chicken. It’s a really good tradeoff between healthiness and deliciusness 🥦🍗"
"The ingredients that this dish contains are good for your health: carrots, chicken broth and celery. The dish looks very tasty 🧀🥒🥕","The presence of turkey makes this dish really tasty. It’s also healthy for the precence of vegetables 🦃🥒🥕","I think this dish is perfect for colder seasons. Its tasty and also healthy, because of meat and vegetables 🦃🥒🥕"
"This dish is a perfect pasta soup for winter season. It’s healthy for the presence of a lot of vegetables like tomatoes, carrots and celery 🍅🥬🤙🍜","I can recommend this dish which is very tasty, the parmesan gives the touch of superiority. Overall, the dish is not heavy, but nutritious and good. 🍅","This pasta soup is really tasty and healthy.  Beef is combined with a lot of vegatables! 🥩🍅🥬"
"Very simple dish, but of great taste, butternut squash with its benefits goes very well with spaghetti and garlic 🍝🎃🧄","This pasta dish is healthy for the presence of butternut squash and fresh bacause of sage 🍝🎃","I really reccomend this spaghetti pasta dish beacuse of its healthiness! 🍝🎃"
"It's healthy because it has a combination of vegetables and meat so it's a great dish 🍖🧅🥕","This dish is perfect if you are hungry. I think the vegetables contained makes this dish healthier than you think 🍖🧅🥕","If you don't like sprouts, with this dish you will change your mind, the flavor integrates and hides between sausage and turkey. All very healthy ingredients 🍖🧅🥕"
"This dish seems not to be very inviting, but it is strongly reccomended because it’s healthy! 🍜🥬🦃","Wait, I know what you're thinking ... maybe this dish isn't very visually appealing. But it is certainly a healthy dish given the presence of a lot of vegetables and the fact that soups are generally less caloric. 🍜🥬🦃v","I would reccomend you this dish if you are searching for a healthy dish! 🍜🥬🦃"
"This pasta dish inspires happiness and summer, a very inviting dish. It's healthy for the presence of lots of vegetables 🥬🍅🧀","This pasta dish is perfect for a summer lunch. I reccomend it for its healthiness 🥬🍅🧀","Fresh, this dish looks ideal for summer. Great variety of healthy ingredients! 🥬🍅🧀"
"This dish is really tasty! You should eat this because of its flavor: i think spaghetti pasta and shrimps is a perfect match! 🍤🍅🍝","This dish is very tasty due to the presence of shrimps. I reccomend it as a summer dish 🍤🍅🍝","This shrimp spaghetti dish is really tasty. It’s perfect if you are hungry today 🍤🍅🍝"
"It looks like a substantial dish but actually light when you think about the ingredients. I recommend it for its healthiness: it is very important to eat vegetables 🥦","I strongly reccomend this dish if you are searching for something healthy. The presence of broccoli makes this perfect after a training session 🥦🏋🏻‍♂️","This dish may seems not attractive, but i strongly reccomend you. It’s healthy for the presence of broccoli. #eathealthy 🥦"
"Single dish with particular flavors. You have to taste them under the palate 🍝🐟","This dish is really tasty in summer days. I reccomend you cause of the presence of fish and vegetables. 🍝🐟","This spaghetti pasta dish is really delicious. I reccomend it because of the presence of fresh fish! 🍝🐟"
"This dish has strong and overwhelming flavors. I recommend it to the most daring 🧀🌶🍗","This dish is very tasty and healthy due to the presence of legumes such as beans 🧀🍗","This dish is perfect if you are hungry! The presence of beans makes this dish rich and tasty 🍗  "
"This dish is very healthy and tasty. Macaroni go well with broccoli and are enriched with flaked parmesan 🧀🥦","This dish is helthy and is reccomended if you are searching for somthing tasty but healthy🥦   ","This may not seem really gorgeous, but man, you need to try it and then we can discuss about it… #eathealthy 😋 🥦"
"This dish is not beautiful at first sight, but I reccomend it because of its helthiness. The precence of broccoli is important in your diet 🤩🥦 ","I reccomend this pasta dish because of the presence of broccoli. They make this dish really healthy 🥦","You should try this pasta dish because of the combination of broccoli and parmesan cheese 🥦🧀"
"The presence of asparagus, herbs and tomatoes makes this dish really tasty and helthy. I reccomend this dish beacuse is really tasty and healthy 🍤 ","Must try if you like spices. Greet with asparagus and shrimp! 🍤🥬","I reccomend this dish because fish and vegetables are healthy  🍤🥬"
"I recommend this dish because it is tasty and gives energy. Rich in chicken and vegetables 🍗🌶🧅","I recommend this pasta dish because is really tasty and abundant! It’s perfect if you are hungry 🍗🌶🧅","This dish is healthy and tasty. I reccomend it to you because of the precence of a lot of vegetables 🍗🥬"
"This dish is really tasty and healthy. It’s important asparagus in your diet! 🤩","I recommend this pasta dish because it has a particular taste you should try...🤩","I think the presence of pecorino and marinara sauce gives this dish a particular taste...asparagus make this dish healthy! 🤩"
"I recommend this dish because there are shrimps that are healthy 🍤","I would recommend this dish because is really beautiful and tasty! You will love shrimps! 🍤","I strongly recommend this dish because is tasty, helthy and really beautiful 🍤😍"
